8.6402e-12-1.1333e+05i,8.6402e-12+1.1333e+05i,-5.2202e-53-88232i,-5.2202e-53+88232i,-2.7285e-12-61400i,-2.7285e-12+61400i,-2.2737e-12-49184i,-2.2737e-12+49184i,-2.0464e-12-32931i,-2.0464e-12+32931i,-6.8212e-12-24129i,-6.8212e-12+24129i,9.0949e-13-13255i,9.0949e-13+13255i,1.9327e-12-1341.3i,1.9327e-12+1341.3i
-2.2737e-12-1.211e+05i,-2.2737e-12+1.211e+05i,0-91462i,0+91462i,2.0464e-12-64133i,2.0464e-12+64133i,9.0949e-12-44317i,9.0949e-12+44317i,9.0949e-13-37655i,9.0949e-13+37655i,0-22572i,0+22572i,1.819e-12-10300i,1.819e-12+10300i,-1.5561e-12-554.83i,-1.5561e-12+554.83i
-7.276e-12-1.1413e+05i,-7.276e-12+1.1413e+05i,-5.207e-71-87190i,-5.207e-71+87190i,-5.6843e-13-52436i,-5.6843e-13+52436i,1.1369e-12-36522i,1.1369e-12+36522i,0-24062i,0+24062i,2.7285e-12-17195i,2.7285e-12+17195i,3.7517e-12-8113.1i,3.7517e-12+8113.1i,1.7053e-12-1518.8i,1.7053e-12+1518.8i
-3.1832e-12-93464i,-3.1832e-12+93464i,-1.4637e-109-80764i,-1.4637e-109+80764i,1.819e-12-57206i,1.819e-12+57206i,3.638e-12-39926i,3.638e-12+39926i,-2.2737e-13-30225i,-2.2737e-13+30225i,-2.7285e-12-18893i,-2.7285e-12+18893i,6.8781e-12-10323i,6.8781e-12+10323i,5.0449e-13-25.193i,5.0449e-13+25.193i
7.276e-12-2.1524e+05i,7.276e-12+2.1524e+05i,-1.0914e-11-59271i,-1.0914e-11+59271i,-8.8094e-68-49209i,-8.8094e-68+49209i,3.4106e-12-29092i,3.4106e-12+29092i,2.7285e-12-19331i,2.7285e-12+19331i,1.1369e-13-12303i,1.1369e-13+12303i,-1.3642e-12-9104.1i,-1.3642e-12+9104.1i,-4.7535e-12-237.38i,-4.7535e-12+237.38i
5.457e-12-97503i,5.457e-12+97503i,0-66915i,0+66915i,5.9117e-12-59429i,5.9117e-12+59429i,2.2737e-12-34558i,2.2737e-12+34558i,-1.3358e-12-31973i,-1.3358e-12+31973i,-2.8706e-12-14695i,-2.8706e-12+14695i,4.5475e-13-9365i,4.5475e-13+9365i,-2.4443e-12-1752.8i,-2.4443e-12+1752.8i
1.7621e-12-91249i,1.7621e-12+91249i,-1.7032e-107-69057i,-1.7032e-107+69057i,-1.9895e-12-44528i,-1.9895e-12+44528i,-2.2737e-13-31322i,-2.2737e-13+31322i,7.9581e-13-23223i,7.9581e-13+23223i,2.2737e-13-13475i,2.2737e-13+13475i,1.819e-12-7660.3i,1.819e-12+7660.3i,-1.4211e-14-623.43i,-1.4211e-14+623.43i
9.0949e-13-1.125e+05i,9.0949e-13+1.125e+05i,0-99197i,0+99197i,3.1832e-12-52218i,3.1832e-12+52218i,3.4674e-12-36080i,3.4674e-12+36080i,-1.819e-12-25858i,-1.819e-12+25858i,0-22622i,0+22622i,-4.3769e-12-5350i,-4.3769e-12+5350i,-6.8212e-13-12121i,-6.8212e-13+12121i
2.2737e-13-1.1746e+05i,2.2737e-13+1.1746e+05i,7.276e-12-1.037e+05i,7.276e-12+1.037e+05i,-9.0949e-13-64055i,-9.0949e-13+64055i,1.0232e-12-37470i,1.0232e-12+37470i,9.0949e-13-27502i,9.0949e-13+27502i,-5.457e-12-22817i,-5.457e-12+22817i,-2.8422e-12-9513.1i,-2.8422e-12+9513.1i,5.6275e-12-1519.4i,5.6275e-12+1519.4i
2.3306e-12-76899i,2.3306e-12+76899i,5.457e-12-51422i,5.457e-12+51422i,-2.7285e-12-33626i,-2.7285e-12+33626i,9.0949e-13-24174i,9.0949e-13+24174i,-4.5475e-13-14153i,-4.5475e-13+14153i,-9.0949e-13-9335i,-9.0949e-13+9335i,1.3642e-12-6228.4i,1.3642e-12+6228.4i,5.6843e-14-1409.7i,5.6843e-14+1409.7i
0-1.1252e+05i,0+1.1252e+05i,7.276e-12-65238i,7.276e-12+65238i,-2.16e-12-53236i,-2.16e-12+53236i,-6.3665e-12-41692i,-6.3665e-12+41692i,-1.3642e-12-24158i,-1.3642e-12+24158i,-3.2969e-12-15088i,-3.2969e-12+15088i,1.3074e-12-3641.6i,1.3074e-12+3641.6i,2.7285e-12-10655i,2.7285e-12+10655i
-4.5475e-13-1.1566e+05i,-4.5475e-13+1.1566e+05i,0-76360i,0+76360i,6.8212e-13-54412i,6.8212e-13+54412i,4.5475e-13-33803i,4.5475e-13+33803i,4.0927e-12-26232i,4.0927e-12+26232i,2.3874e-12-17005i,2.3874e-12+17005i,9.0949e-13-10860i,9.0949e-13+10860i,-3.5243e-12-1772.7i,-3.5243e-12+1772.7i
